ALGORITHM,10,50,100,500,1000,5000,10000,50000,100000,500000,1000000
Insertion,0.002,0.008,0.030,0.584,2.410,37.394,137.580,3565.211
Merge,0.004,0.007,0.012,0.066,0.139,0.814,1.788,10.020,21.083,120.087,251.188
Heap,0.002,0.010,0.023,0.152,0.368,2.208,4.734,28.031,60.481,357.166,772.270
QuickSort,0.002,0.005,0.010,0.063,0.143,0.864,1.917,11.040,24.761
Counting,0.339,0.311,0.321,0.359,0.339,0.444,0.512,1.391,2.500,11.839,23.962
Radix,0.016,0.131,0.466,11.446,50.201,1273.259
Bucket,0.007,0.015,0.028,0.129,0.265,1.433,3.224,14.367,28.953,211.017,474.760
